Time,dx,dy
897.117098569,10.260239,0.06476084
897.369450699,56.941433,11.428411
897.624437477,-33.531254,0.06271871
897.877191437,-20.90626,-0.16178589
898.13342614,-8.952689,-0.2839732
898.389364016,30.070612,1.152953
898.643775479,30.410229,0.45805663
898.899723897,15.897841,0.50895995
899.161939067,-23.82452,-0.05948995
899.415818327,-18.4065,0.19878031
899.669335446,-8.573854,0.8193054
899.925522215,12.448037,0.22646382
900.175844211,18.772707,0.5125997
900.437797572,10.759145,0.23594055
900.697612721,-8.657892,-0.07521464
900.945106799,-8.935389,-0.09615987
901.202730439,7.668276,0.901473
901.459623517,10.652146,0.19329935
901.713464489,-5.2426596,-0.019485474
901.966337898,-5.1847963,-0.15889995
902.222599563,-0.5608948,0.10473531
902.481488262,17.793415,0.12781677
902.738739888,9.739325,0.01771342
902.990362289,-8.133891,-0.02470703
903.246717142,-8.5370035,-0.19994405
903.499225219,-4.913745,-0.14993387
903.756256744,12.134674,0.3845805
904.012971574,18.98393,4.8341346
904.266585067,-13.548172,-0.14366476
904.525817196,-19.175035,-0.32621983
904.780593536,4.485709,0.12774004
905.034899529,12.998917,0.30852944
905.289481183,12.495433,0.2572512
905.544965467,-12.222251,-0.022420611
905.802064256,-9.563065,-0.24681854
906.070852876,4.816413,0.08595712
906.311653812,10.658959,0.23323822
906.567137678,12.443492,0.37594494
906.823010891,-3.2191641,0.033822197
907.083147213,-19.972172,0.020116534
